Unnamed: 0,path,contrast_0,dissimilarity_0,homogeneity_0,energy_0,correlation_0,entropy_0,asm_0,contrast_45,dissimilarity_45,homogeneity_45,energy_45,correlation_45,entropy_45,asm_45,contrast_90,dissimilarity_90,homogeneity_90,energy_90,correlation_90,entropy_95,asm_90,contrast_135,dissimilarity_135,homogeneity_135,energy_135,correlation_135,entropy_135,asm_135,labels
0,datasets/ayam\download.jpg,1952.34375,7.65625,0.9700927734375,0.8663109633501839,0.7128654594401523,-5105249.223107654,1.3218856252291624e-05,3084.0,12.094117647058823,0.9527573529411764,0.8498695530849711,0.5480987613048829,-5105249.223107654,1.296798024116472e-05,1420.4296875,5.5703125,0.9782409667968749,0.8740668154037808,0.7910949720212538,-5105249.223107654,1.3337201162777418e-05,3044.0,11.937254901960785,0.9533700980392157,0.8504267291393115,0.5539599965668169,-5105249.223107654,1.2976482073048576e-05,ayam
1,datasets/ayam\egg-white-food-protein-162712.jpeg,2828.90625,11.09375,0.9566650390625,0.8168307486904076,0.6926687198916955,-7070763.108893081,1.2463848094030878e-05,4408.0,17.28627450980392,0.9324754901960784,0.7947401937651225,0.5228318769485836,-7070763.108893081,1.2126772976152382e-05,2631.6796875,10.3203125,0.959686279296875,0.8196091281373149,0.714095337307697,-7070763.108893081,1.2506242799946822e-05,4596.0,18.023529411764706,0.9295955882352941,0.7922493414164634,0.5024807864010188,-7070763.108893081,1.208876558557836e-05,ayam
2,datasets/ayam\images (1).jpg,2346.796875,9.203125,0.96405029296875,0.8222554182135476,0.7475406634046358,-7147066.307909912,1.2546621982018244e-05,3870.0,15.176470588235295,0.9407169117647058,0.80055675578597,0.5851699751589354,-7147066.307909912,1.2215526669097442e-05,2705.390625,10.609375,0.9585571289062499,0.8171691833519561,0.7089645338739348,-7147066.307909912,1.2469012197142885e-05,4188.0,16.423529411764704,0.9358455882352941,0.7962723583822564,0.5510831669161811,-7147066.307909912,1.2150151952854254e-05,ayam
3,datasets/ayam\images.jpg,1988.203125,7.796875,0.9695434570312499,0.8668289357045666,0.7046654309955501,-5051554.379355068,1.3226759883187357e-05,3256.0,12.768627450980393,0.9501225490196078,0.8485219016552502,0.5181223008074106,-5051554.379355068,1.2947416712268833e-05,1645.546875,6.453125,0.9747924804687501,0.8718040654623523,0.7555647755534312,-5051554.379355068,1.3302674338719976e-05,3220.0,12.627450980392156,0.9506740196078431,0.8490203971766691,0.5234501869164195,-5051554.379355068,1.2955023150278764e-05,ayam
4,datasets/ayam\IMG_20220818_154051.jpg,3882.7734375,15.2265625,0.940521240234375,0.7030138099491481,0.7520674177782952,-12916435.966904806,1.0727139434038514e-05,8468.0,33.2078431372549,0.8702818627450981,0.6451024082802566,0.46104808222818533,-12916435.966904806,9.843481571659188e-06,6432.7734375,25.2265625,0.901458740234375,0.6700192886112013,0.5892384258625529,-12916435.966904806,1.022368299272463e-05,8506.0,33.35686274509804,0.8696997549019609,0.6446705658560626,0.45862954504404146,-12916435.966904806,9.836892179200175e-06,ayam
5,datasets/ayam\IMG_20220818_160129.jpg,2020.078125,7.921875,0.9690551757812499,0.8267871769571798,0.7829236549370133,-7155544.441134005,1.2615771132769468e-05,4668.0,18.305882352941175,0.9284926470588236,0.7897401164577371,0.5001742246204108,-7155544.441134005,1.2050477851222795e-05,3470.390625,13.609375,0.9468383789062501,0.8063665154327662,0.6270739713020486,-7155544.441134005,1.230417656605173e-05,4556.0,17.866666666666667,0.9302083333333332,0.791218201026104,0.5121666168317462,-7155544.441134005,1.2073031631868041e-05,ayam
6,datasets/ayam\istockphoto-104103608-612x612 (1).jpg,2217.3046875,8.6953125,0.9660339355468751,0.8254286526478698,0.7592452245220138,-7075002.175505127,1.2595041696897427e-05,3646.0,14.298039215686273,0.9441482843137255,0.8049292345341993,0.6055355053160507,-7075002.175505127,1.2282245399996937e-05,2032.03125,7.96875,0.9688720703125,0.8280917200002703,0.7793622003705787,-7075002.175505127,1.2635676879886937e-05,3610.0,14.156862745098039,0.9446997549019607,0.8054210890112504,0.609430382389178,-7075002.175505127,1.2289750503711707e-05,ayam
7,datasets/ayam\istockphoto-119094646-612x612.jpg,1998.1640625,7.8359375,0.969390869140625,0.8600563687005899,0.7210465106574266,-5396331.797134827,1.3123418711862028e-05,3140.0,12.313725490196077,0.9518995098039216,0.8434789262285038,0.5632465372177905,-5396331.797134827,1.2870467013984739e-05,1631.6015625,6.3984375,0.975006103515625,0.8653789459545307,0.7722204309356256,-5396331.797134827,1.3204634795448771e-05,3256.0,12.768627450980393,0.9501225490196078,0.8418704681206072,0.5471116959175559,-5396331.797134827,1.2845923891000476e-05,ayam
8,datasets/ayam\istockphoto-119390768-612x612.jpg,2520.1171875,9.8828125,0.9613952636718751,0.8148616832130372,0.7379292687093568,-7416953.548876855,1.2433802539261432e-05,3914.0,15.349019607843138,0.9400428921568628,0.7950176139334221,0.5944281875807487,-7416953.548876855,1.2131006071982148e-05,2265.1171875,8.8828125,0.9653015136718751,0.8184946609139215,0.7644470976462756,-7416953.548876855,1.2489237379667992e-05,4060.0,15.92156862745098,0.9378063725490197,0.7930476630627826,0.5792995507352683,-7416953.548876855,1.2100947007183573e-05,ayam
9,datasets/ayam\istockphoto-1299787001-612x612.jpg,4040.15625,15.84375,0.9381103515624999,0.7322443441224529,0.7034024920063663,-10965052.303159533,1.117316198917317e-05,5704.0,22.368627450980394,0.9126225490196079,0.7097807360934287,0.5826706818813959,-10965052.303159533,1.083039453267561e-05,3143.671875,12.328125,0.95184326171875,0.744507975448145,0.7692155485138292,-10965052.303159533,1.1360290152712173e-05,5784.0,22.68235294117647,0.9113970588235294,0.7087677970839299,0.5768175357647256,-10965052.303159533,1.0814938309996489e-05,ayam
10,datasets/ayam\istockphoto-1345064380-612x612 - Copy.jpg,2420.5078125,9.4921875,0.9629211425781249,0.8454473729117107,0.6864374706084052,-5845672.858011725,1.290050312670457e-05,3784.0,14.83921568627451,0.9420343137254902,0.8260454922773176,0.5115903196863362,-5845672.858011725,1.2604453922688562e-05,1936.40625,7.59375,0.9703369140625,0.8523933933350454,0.7491499764867242,-5845672.858011725,1.300649098716805e-05,3658.0,14.345098039215687,0.9439644607843138,0.8277614402291965,0.5278534327200364,-5845672.858011725,1.2630637210528511e-05,ayam
11,datasets/ayam\istockphoto-139867138-612x612.jpg,2197.3828125,8.6171875,0.9663391113281249,0.8511809338280348,0.7091035973740502,-5711435.748630262,1.2987990323303754e-05,3558.0,13.952941176470587,0.9454963235294117,0.8316830715303211,0.5306992864706263,-5711435.748630262,1.2690476555333268e-05,1956.328125,7.671875,0.97003173828125,0.8546512365286189,0.7410151701009223,-5711435.748630262,1.304094294019499e-05,3586.0,14.062745098039215,0.9450674019607843,0.8312997763702809,0.5270060824293608,-5711435.748630262,1.2684627935337537e-05,ayam
12,datasets/ayam\istockphoto-144343241-612x612.jpg,2107.734375,8.265625,0.96771240234375,0.8589377489276961,0.704515999436569,-5372310.419666565,1.3106349928706301e-05,3280.0,12.862745098039216,0.9497549019607844,0.8420000725477337,0.5418607614665002,-5372310.419666565,1.2847901497615565e-05,1741.171875,6.828125,0.97332763671875,0.8642413280799452,0.7559045212736873,-5372310.419666565,1.3187276124266743e-05,3376.0,13.239215686274509,0.9482843137254903,0.840674837953817,0.5284518081435686,-5372310.419666565,1.2827680022488663e-05,ayam
13,datasets/ayam\istockphoto-146890263-612x612.jpg,1888.59375,7.40625,0.9710693359375,0.8531657013678632,0.7551782720716463,-5841433.791399679,1.3018275472532092e-05,3178.0,12.462745098039216,0.9513174019607844,0.8344477146503112,0.5895307013062124,-5841433.791399679,1.273266166153429e-05,1806.9140625,7.0859375,0.972320556640625,0.8543504404480847,0.7657665535537796,-5841433.791399679,1.3036353156251293e-05,3226.0,12.650980392156862,0.9505821078431372,0.833782236595779,0.5833310391484711,-5841433.791399679,1.272250727227446e-05,ayam
14,datasets/ayam\istockphoto-146923817-612x612.jpg,2221.2890625,8.7109375,0.965972900390625,0.8503015920484309,0.7072910801907878,-5739696.19271057,1.2974572632574935e-05,3674.0,14.407843137254902,0.943719362745098,0.82955906593167,0.5176266927628402,-5739696.19271057,1.2658066801935882e-05,1982.2265625,7.7734375,0.969635009765625,0.8537403986372428,0.7387933854617343,-5739696.19271057,1.302704465694035e-05,3646.0,14.298039215686273,0.9441482843137255,0.8299411955978839,0.5213029182943156,-5739696.19271057,1.2663897637907164e-05,ayam
15,datasets/ayam\istockphoto-155471363-612x612.jpg,2233.2421875,8.7578125,0.965789794921875,0.8511772304184387,0.7030522753143906,-5684588.326753969,1.2987933813757915e-05,3558.0,13.952941176470587,0.9454963235294118,0.8321949806369391,0.528629713757872,-5684588.326753969,1.2698287668410325e-05,1932.421875,7.578125,0.97039794921875,0.8555070883381691,0.7430514781935406,-5684588.326753969,1.3054002202425676e-05,3550.0,13.92156862745098,0.9456188725490198,0.8323045616530833,0.5296895682519522,-5684588.326753969,1.2699959742020924e-05,ayam
16,datasets/ayam\istockphoto-175713865-612x612.jpg,2436.4453125,9.5546875,0.9626770019531249,0.846720283270707,0.6803345627087044,-5766543.614586863,1.2919926197367966e-05,3740.0,14.666666666666666,0.9427083333333333,0.8281485908844393,0.511095069204091,-5766543.614586863,1.2636544660712269e-05,1916.484375,7.515625,0.97064208984375,0.8541813136962045,0.7485542512884494,-5766543.614586863,1.3033772486819527e-05,3680.0,14.431372549019608,0.943627450980392,0.8289660211426091,0.5189384638157901,-5766543.614586863,1.2649017656594987e-05,ayam
17,datasets/ayam\istockphoto-182384445-612x612 - Copy.jpg,4781.25,18.75,0.9267578125,0.6924289204422579,0.6929214802624081,-12827415.568051836,1.0565626837803008e-05,6558.0,25.71764705882353,0.8995404411764706,0.6690829276469392,0.580188051171223,-12827415.568051836,1.0209395258284595e-05,4442.578125,17.421875,0.93194580078125,0.6968984491391532,0.7146728754104875,-12827415.568051836,1.0633826433397724e-05,7116.0,27.905882352941173,0.8909926470588235,0.662306163320203,0.5444675468335501,-12827415.568051836,1.0105990040896652e-05,ayam
18,datasets/ayam\istockphoto-182384445-612x612.jpg,4781.25,18.75,0.9267578125,0.6924289204422579,0.6929214802624081,-12827415.568051836,1.0565626837803008e-05,6558.0,25.71764705882353,0.8995404411764706,0.6690829276469392,0.580188051171223,-12827415.568051836,1.0209395258284595e-05,4442.578125,17.421875,0.93194580078125,0.6968984491391532,0.7146728754104875,-12827415.568051836,1.0633826433397724e-05,7116.0,27.905882352941173,0.8909926470588235,0.662306163320203,0.5444675468335501,-12827415.568051836,1.0105990040896652e-05,ayam
19,datasets/ayam\istockphoto-451505631-612x612.jpg,1946.3671875,7.6328125,0.970184326171875,0.8669152067038519,0.7123197634505997,-5078401.801231361,1.3228076274167662e-05,3162.0,12.4,0.9515625000000001,0.8493048566627954,0.5343639751199338,-5078401.801231361,1.2959363657574393e-05,1687.3828125,6.6171875,0.974151611328125,0.8706754791952014,0.7505986076178689,-5078401.801231361,1.3285453478930685e-05,3240.0,12.705882352941176,0.9503676470588235,0.8482234179294896,0.5228776974663458,-5078401.801231361,1.2942862212058863e-05,ayam
